rect x: 855, y: 1963, w: 43, h: 16
rect x: 782, y: 1963, w: 53, h: 18
rect x: 615, y: 1961, w: 44, h: 17
rect x: 670, y: 1955, w: 74, h: 25
rect x: 669, y: 1923, w: 87, h: 21
rect x: 775, y: 1921, w: 43, h: 22
rect x: 713, y: 1883, w: 43, h: 24
rect x: 556, y: 1884, w: 72, h: 23
rect x: 776, y: 1882, w: 125, h: 25
rect x: 648, y: 1882, w: 44, h: 26
rect x: 761, y: 1811, w: 62, h: 24
rect x: 427, y: 1810, w: 153, h: 29
rect x: 897, y: 1809, w: 54, h: 23
rect x: 622, y: 1809, w: 104, h: 26
rect x: 976, y: 1809, w: 54, h: 25
rect x: 518, y: 1774, w: 27, h: 25
rect x: 425, y: 1774, w: 74, h: 25
rect x: 1019, y: 1772, w: 76, h: 25
rect x: 683, y: 1660, w: 94, h: 28
rect x: 418, y: 1661, w: 146, h: 27
rect x: 600, y: 1623, w: 112, h: 27
rect x: 424, y: 1622, w: 157, h: 29
rect x: 440, y: 1584, w: 137, h: 32
rect x: 674, y: 1547, w: 56, h: 27
rect x: 548, y: 1546, w: 29, h: 28
rect x: 418, y: 1545, w: 113, h: 31
rect x: 518, y: 1506, w: 97, h: 29
rect x: 417, y: 1507, w: 81, h: 29
rect x: 417, y: 1466, w: 98, h: 30
rect x: 417, y: 1427, w: 131, h: 28
rect x: 418, y: 1389, w: 267, h: 28
rect x: 1002, y: 1354, w: 101, h: 30
rect x: 417, y: 1347, w: 64, h: 29
rect x: 1004, y: 1314, w: 99, h: 31
rect x: 524, y: 1308, w: 55, h: 28
rect x: 431, y: 1307, w: 47, h: 29
rect x: 1001, y: 1272, w: 102, h: 34
rect x: 417, y: 1265, w: 132, h: 30
rect x: 603, y: 1186, w: 115, h: 35
rect x: 450, y: 1184, w: 51, h: 31
rect x: 974, y: 1150, w: 62, h: 31
rect x: 568, y: 1144, w: 168, h: 32
rect x: 419, y: 1143, w: 132, h: 33
rect x: 606, y: 1104, w: 113, h: 35
rect x: 451, y: 1101, w: 50, h: 31
rect x: 971, y: 1072, w: 62, h: 27
rect x: 856, y: 1072, w: 61, h: 24
rect x: 719, y: 1068, w: 117, h: 28
rect x: 656, y: 1067, w: 46, h: 28
rect x: 523, y: 1064, w: 115, h: 29
rect x: 423, y: 1064, w: 80, h: 27
rect x: 608, y: 1030, w: 112, h: 30
rect x: 457, y: 1029, w: 49, h: 27
rect x: 973, y: 997, w: 65, h: 26
rect x: 419, y: 990, w: 118, h: 29
rect x: 607, y: 952, w: 114, h: 33
rect x: 455, y: 951, w: 48, h: 27
rect x: 1000, y: 920, w: 40, h: 24
rect x: 709, y: 913, w: 63, h: 29
rect x: 620, y: 912, w: 67, h: 29
rect x: 418, y: 910, w: 185, h: 29
rect x: 1012, y: 877, w: 29, h: 25
rect x: 793, y: 872, w: 130, h: 30
rect x: 713, y: 872, w: 59, h: 29
rect x: 619, y: 871, w: 68, h: 28
rect x: 504, y: 868, w: 99, h: 31
rect x: 420, y: 867, w: 64, h: 31
rect x: 980, y: 837, w: 64, h: 26
rect x: 861, y: 833, w: 46, h: 28
rect x: 738, y: 831, w: 52, h: 28
rect x: 606, y: 828, w: 116, h: 33
rect x: 538, y: 828, w: 47, h: 30
rect x: 417, y: 826, w: 100, h: 30
rect x: 609, y: 787, w: 111, h: 34
rect x: 451, y: 784, w: 47, h: 31
rect x: 981, y: 752, w: 65, h: 28
rect x: 680, y: 745, w: 60, h: 31
rect x: 572, y: 744, w: 83, h: 31
rect x: 417, y: 742, w: 134, h: 31
rect x: 760, y: 705, w: 48, h: 29
rect x: 642, y: 706, w: 98, h: 27
rect x: 537, y: 702, w: 82, h: 33
rect x: 417, y: 699, w: 100, h: 32
rect x: 1007, y: 668, w: 40, h: 26
rect x: 692, y: 664, w: 99, h: 31
rect x: 555, y: 662, w: 117, h: 28
rect x: 417, y: 658, w: 117, h: 30
rect x: 607, y: 620, w: 116, h: 34
rect x: 453, y: 617, w: 47, h: 29
rect x: 987, y: 581, w: 61, h: 30
rect x: 418, y: 573, w: 118, h: 32
rect x: 985, y: 540, w: 64, h: 28
rect x: 870, y: 538, w: 42, h: 29
rect x: 761, y: 537, w: 83, h: 29
rect x: 693, y: 536, w: 48, h: 28
rect x: 556, y: 534, w: 117, h: 31
rect x: 418, y: 532, w: 117, h: 31
rect x: 796, y: 496, w: 113, h: 28
rect x: 695, y: 497, w: 74, h: 26
rect x: 608, y: 492, w: 65, h: 30
rect x: 419, y: 490, w: 168, h: 32
rect x: 779, y: 454, w: 82, h: 27
rect x: 660, y: 454, w: 99, h: 28
rect x: 574, y: 450, w: 64, h: 32
rect x: 488, y: 450, w: 65, h: 30
rect x: 419, y: 449, w: 48, h: 30
rect x: 1021, y: 419, w: 29, h: 22
rect x: 660, y: 415, w: 65, h: 21
rect x: 797, y: 412, w: 82, h: 28
rect x: 488, y: 408, w: 151, h: 30
rect x: 421, y: 408, w: 47, h: 31
rect x: 626, y: 329, w: 100, h: 26
rect x: 805, y: 328, w: 109, h: 28
rect x: 541, y: 326, w: 65, h: 29
rect x: 646, y: 256, w: 60, h: 16
rect x: 867, y: 246, w: 134, h: 28
rect x: 782, y: 244, w: 61, h: 33
rect x: 542, y: 
